Date,Close,High,Low,Open,Volume,Adj Close,Daily_Return,MA_20,MA_50,MA_200,Volatility_20,Year,Month,Day_of_Week,Quarter
19-04-2016,119.58,120.09,119.37,119.87,21031500,119.58,156.27688129999999,117.91,118.06,NA,111.6692905,2016,4,1,2
20-04-2016,118.97,120.08,118.72,119.67,10233200,118.97,-51.01192519999999,117.9,118.16,NA,112.1223987,2016,4,2,2
21-04-2016,119.42,120.55,119.13,120.42,14612800,119.42,37.824404799999996,118.04,118.28,NA,98.94863529999999,2016,4,3,2
22-04-2016,117.89,119.02,117.28,118.71,10047000,117.89,-128.11914280000002,118.12,118.35,NA,103.59305409999999,2016,4,4,2
25-04-2016,118.23,118.71,118.11,118.14,4369400,118.23,28.8407812,118.2,118.33,NA,103.64657820000001,2016,4,0,2
26-04-2016,118.7,118.89,118.45,118.79,9906800,118.7,39.7524806,118.19,118.34,NA,95.2788192,2016,4,1,2
27-04-2016,119.04,119.7,118.43,118.97,7976400,119.04,28.6439744,118.29,118.42,NA,89.5272048,2016,4,2,2
28-04-2016,121.29,121.42,119.73,119.92,15133600,121.29,189.0120953,118.47,118.54,NA,97.98165709999999,2016,4,3,2
29-04-2016,123.65,123.93,122.34,122.43,19043900,123.65,194.5750344,118.81,118.65,NA,103.9604929,2016,4,4,2
02-05-2016,123.24,123.96,123.05,123.78,12137500,123.24,-33.1584033,119.16,118.76,NA,102.6054638,2016,5,0,2
03-05-2016,122.96,123.82,122.51,123.73,9063600,122.96,-22.7197975,119.43,118.91,NA,100.44461559999999,2016,5,1,2
04-05-2016,122.21,123.23,121.51,122.85,9398200,122.21,-60.995446099999995,119.69,119.01,NA,100.4359419,2016,5,2,2
05-05-2016,122.07,122.73,121.25,122.63,8846900,122.07,-11.455641199999999,119.86,119.1,NA,96.5625294,2016,5,3,2
06-05-2016,123.18,123.81,122.59,122.83,11366800,123.18,90.931483,120.1,119.2,NA,97.735032,2016,5,4,2
09-05-2016,120.65,121.29,120.59,121.2,9236200,120.65,-205.3903859,120.13,119.27,NA,105.96366280000001,2016,5,0,2
10-05-2016,120.98,121.38,120.08,120.74,9845000,120.98,27.351995600000002,120.18,119.32,NA,106.100821,2016,5,1,2
11-05-2016,122.12,122.16,121.38,121.85,7590100,122.12,94.2303982,120.35,119.41,NA,104.5338619,2016,5,2,2
12-05-2016,121.16,122.39,121.0,122.02,7447100,121.16,-78.6111254,120.55,119.46,NA,100.6065425,2016,5,3,2
13-05-2016,121.71,121.86,120.66,121.09,7672800,121.71,45.3941405,120.74,119.48,NA,100.1031217,2016,5,4,2
16-05-2016,121.8,122.97,121.38,122.93,7103000,121.8,7.3949526,120.94,119.5,NA,99.85492740000001,2016,5,0,2
17-05-2016,122.22,122.52,121.48,121.58,8619800,122.22,34.4826074,121.07,119.52,NA,94.5131007,2016,5,1,2
18-05-2016,120.1,121.92,119.88,121.22,13381700,120.1,-173.4579222,121.13,119.51,NA,102.40188320000001,2016,5,2,2
19-05-2016,119.87,119.98,118.92,119.0,14339700,119.87,-19.1503522,121.15,119.52,NA,102.23966929999999,2016,5,3,2
20-05-2016,119.71,120.32,119.31,120.19,10379400,119.71,-13.3480986,121.24,119.48,NA,97.6474137,2016,5,4,2
23-05-2016,119.37,119.6,118.75,118.86,8628200,119.37,-28.401665700000002,121.3,119.48,NA,97.846694,2016,5,0,2
24-05-2016,117.3,118.23,117.25,118.17,12772000,117.3,-173.41037509999998,121.23,119.47,NA,105.2226801,2016,5,1,2
25-05-2016,116.98,117.06,116.32,116.59,10487300,116.98,-27.280450699999996,121.13,119.45,NA,105.01312169999999,2016,5,2,2
26-05-2016,116.58,117.63,116.39,117.57,5893500,116.58,-34.1940088,120.89,119.37,NA,94.2614598,2016,5,3,2
27-05-2016,115.62,116.36,115.29,116.27,8686700,115.62,-82.3468064,120.49,119.28,NA,80.51927690000001,2016,5,4,2
31-05-2016,116.06,116.4,115.5,115.76,8187600,116.06,38.0552501,120.13,119.21,NA,82.0809695,2016,5,1,2
01-06-2016,115.94,116.14,115.2,115.97,8399600,115.94,-10.3390591,119.78,119.15,NA,82.1825787,2016,6,2,2
02-06-2016,115.67,115.97,115.58,115.78,4591600,115.67,-23.2882756,119.45,119.07,NA,81.8424065,2016,6,3,2
03-06-2016,118.88,118.89,118.23,118.25,14605100,118.88,277.5135416,119.3,119.12,NA,106.5386008,2016,6,4,2
06-06-2016,118.92,119.17,118.46,118.89,9887900,118.92,3.3648146,119.08,119.17,NA,103.8205393,2016,6,0,2
07-06-2016,118.82,119.02,118.41,118.5,4602900,118.82,-8.4088863,118.99,119.21,NA,93.8830044,2016,6,1,2
08-06-2016,120.58,120.78,120.23,120.3,11661700,120.58,148.12339169999998,118.97,119.25,NA,99.9141757,2016,6,2,2
09-06-2016,121.25,121.48,120.55,120.61,12174000,121.25,55.5646176,118.93,119.33,NA,98.3323478,2016,6,3,2
10-06-2016,121.74,122.1,121.18,121.55,13940000,121.74,40.412195000000004,118.96,119.42,NA,97.11710409999999,2016,6,4,2
13-06-2016,122.64,122.83,122.03,122.8,12594200,122.64,73.92817000000001,119.0,119.53,NA,97.9809899,2016,6,0,2
